"distributor","name","area","city","quantity","amount",
"MECOTEX CORPORATION","Millenium","KALYANI NAGAR","Pune","729","235791",
"MECOTEX CORPORATION","Dhanlaxmi  varities","VISHRANTWADI / KHADKI","Pune","49","9513",
"MECOTEX CORPORATION","Shivam variety","VISHRANTWADI / KHADKI","Pune","121","21439",
"SANTA MARIA TRADERS","Walk Over","Panjim","Goa","4810","1509885",
"SANTA MARIA TRADERS","Karmally","Panjim","Goa","36","6660",
"SANTA MARIA TRADERS","Mangal Murthi Collections","Madgaon","Goa","120","31700",
"SANTA MARIA TRADERS","C. B. Verencar Traders","Madgaon","Goa","247","56095",
"SANTA MARIA TRADERS","Kimkan Island","Ponda","Goa","156","47004",
"SANTA MARIA TRADERS","Satyam Gift & Greeting Gallery","Ponda","Goa","36","4653",
"SANTA MARIA TRADERS","Toyland","Ponda","Goa","324","83790",
"SANTA MARIA TRADERS","Loja Shamu","Mapsa","Goa","34","9140",
"SANTA MARIA TRADERS","B. P. Enterprises","Mapsa","Goa","144","32160",
"SANTA MARIA TRADERS","wohlig","Mapsa","Goa","3","897",
"Balaji Marketing","Shri Mahalaxmi","Ratnagiri","Ratnagiri","576","185952",
"Balaji Marketing","Lucky Bazar","Kolhapur - 1","Kolhapur","611","113789",
"SANJARI ENTERPRISES","Manoj Stores","BREACH CANDY","Mumbai","2509","565895",
"SANJARI ENTERPRISES","Kamdhenu","BREACH CANDY","Mumbai","324","125676",
"SANJARI ENTERPRISES","Kenorita","BREACH CANDY","Mumbai","1023","360778",
"SANJARI ENTERPRISES","Komal Collection","BREACH CANDY","Mumbai","100","32280",
"SANJARI ENTERPRISES","Global Retail","BREACH CANDY","Mumbai","40","10360",
"SANJARI ENTERPRISES","Warden Collection","BREACH CANDY","Mumbai","60","15840",
"SANJARI ENTERPRISES","Souvenirs","SOUTH MUMBAI","Mumbai","884","275406",
"SANJARI ENTERPRISES","Magic Carpet","SOUTH MUMBAI","Mumbai","696","228504",
"SANJARI ENTERPRISES","jain Sports","SOUTH MUMBAI","Mumbai","81","28953",
"SANJARI ENTERPRISES","Satyam Collection","SOUTH MUMBAI","Mumbai","81","27819",
"SANJARI ENTERPRISES","Naval Book Centre","SOUTH MUMBAI","Mumbai","1040","228748",
"SANJARI ENTERPRISES","Shanti Plastic","SOUTH MUMBAI","Mumbai","676","271778",
"SANJARI ENTERPRISES","Roopam","SOUTH MUMBAI","Mumbai","198","79002",
"SANJARI ENTERPRISES","Favourite","SOUTH MUMBAI","Mumbai","18","5682",
"SWAYAM ENTERPRISES","Little wonder toys & sports .","Borivali - East & West","Mumbai","144","55104",
"SWAYAM ENTERPRISES","Anupam stationery superstore pvt.ltd.","Borivali - East & West","Mumbai","272","90960",
"SWAYAM ENTERPRISES","Gora Gandhi sports & toys.","Borivali - East & West","Mumbai","104","45756",
"SWAYAM ENTERPRISES","Parshavi collection","Borivali - East & West","Mumbai","16","5984",
"SWAYAM ENTERPRISES","Art Station .","Andheri West","Mumbai","70","22344",
"SWAYAM ENTERPRISES","Green Turtle","Andheri West","Mumbai","1645","439950",
"SWAYAM ENTERPRISES","Gurukrupa Cards & Gifts","Andheri West","Mumbai","420","112380",
"SWAYAM ENTERPRISES","Patel Toys & stationery","Andheri West","Mumbai","324","120816",
"SWAYAM ENTERPRISES","Charisma .","Andheri West","Mumbai","58","25474",
"SWAYAM ENTERPRISES","Harish Collection.","Andheri West","Mumbai","274","104442",
"SWAYAM ENTERPRISES","New Pleasure Treasure.","Andheri West","Mumbai","80","15920",
"SWAYAM ENTERPRISES","Kids Corner.","Andheri West","Mumbai","64","29136",
"SWAYAM ENTERPRISES","Celebration .","Andheri East","Mumbai","41","15124",
"SWAYAM ENTERPRISES","Sonalei Collection.","Andheri East","Mumbai","30","10470",
"SWAYAM ENTERPRISES","Nadco Toys & Gifts.","Andheri West","Mumbai","314","94406",
"SWAYAM ENTERPRISES","China Town,","Andheri West","Mumbai","169","64545",
"SWAYAM ENTERPRISES","Famous General Stores.","Andheri East","Mumbai","289","122162",
"SWAYAM ENTERPRISES","Fantasy Collection.","Andheri East","Mumbai","49","19565",
"SWAYAM ENTERPRISES","Glory Collection.","Borivali - East & West","Mumbai","578","205224",
"SWAYAM ENTERPRISES","test","BANDRA EAST","Mumbai","177","62715",
"SWAYAM ENTERPRISES","Test Company","BANDRA WEST","Mumbai","367","106269.05",
"SWAYAM ENTERPRISES","wohlig","BANDRA WEST","Mumbai","20","7484",
"SWAYAM ENTERPRISES","Pink Collection.","Borivali - East & West","Mumbai","100","39660",
"SWAYAM ENTERPRISES","Priority Gift & Stationery.","Andheri East","Mumbai","144","35760",
"Toyotoyz","Asian General Store","DADAR EAST","Mumbai","361","108927",
"Toyotoyz","Prabhat Gift Centre","DADAR WEST","Mumbai","2182","671088",
"Toyotoyz","Rushabh collection","DADAR WEST","Mumbai","400","150760",
"Toyotoyz","Mahavir Traders","DADAR WEST","Mumbai","957","300759",
"Toyotoyz","Rainbow","Ghatkopar / Chembur / Mulund","Mumbai","32","8568",
"Toyotoyz","My Toys","Ghatkopar / Chembur / Mulund","Mumbai","36","15264",
"Toyotoyz","Little Juniors","Ghatkopar / Chembur / Mulund","Mumbai","25","12355",
"Toyotoyz","Malbar Stores","Ghatkopar / Chembur / Mulund","Mumbai","81","26667",
"Toyotoyz","Saturn Decoration","DADAR WEST","Mumbai","16","4984",
"Toyotoyz","Dadar Novelty","DADAR WEST","Mumbai","168","71832",
"CHAMUNDA GOGA SALES","sky blue","Satellite/ Jodpur","Ahmedabad","293","88547",
"CHAMUNDA GOGA SALES","pluto toys","CG Road/ Ashram Rd.","Ahmedabad","12","4644",
"CHAMUNDA GOGA SALES","mama love","Naranpura","Ahmedabad","36","7212",
"CHAMUNDA GOGA SALES","meeta xerox & gift","Naranpura","Ahmedabad","24","6976",
"CHAMUNDA GOGA SALES","Sams Toy World","Vastrapur/ S G Highway","Ahmedabad","2208","622730",
"CHAMUNDA GOGA SALES","saumya stationary & general store","Bopal / Sun City","Ahmedabad","169","25675",
"CHAMUNDA GOGA SALES","sadhna gift & novelties","Bopal / Sun City","Ahmedabad","48","12456",
"CHAMUNDA GOGA SALES","oxford stationers","Chandkheda / Shahibaug","Ahmedabad","99","31635",
"CHAMUNDA GOGA SALES","shaishav art gallery","Chandkheda / Shahibaug","Ahmedabad","441","144879",
"CHAMUNDA GOGA SALES","play zone sports toys& gift","Chandkheda / Shahibaug","Ahmedabad","144","44568",
"CHAMUNDA GOGA SALES","hari om collection","Gandhinagar - City","Gandhinagar","144","52320",
"CHAMUNDA GOGA SALES","laxmi cycle co","Naranpura","Ahmedabad","144","50352",
"CHAMUNDA GOGA SALES","a kampanwala toy world","Satellite/ Jodpur","Ahmedabad","1","599",
"CHAMUNDA GOGA SALES","toys mart","Satellite/ Jodpur","Ahmedabad","36","17964",
"CHAMUNDA GOGA SALES","krishna toys","Satellite/ Jodpur","Ahmedabad","12","4188",
"CHAMUNDA GOGA SALES","new twinkle toys","Satellite/ Jodpur","Ahmedabad","48","14226",
"CHAMUNDA GOGA SALES","raj stationers","Satellite/ Jodpur","Ahmedabad","25","7105",
"CHAMUNDA GOGA SALES","dhwanil enterprise","Himantnagar - City","Himantnagar","2550","785350",
"CHAMUNDA GOGA SALES","rama fashion","Naranpura","Ahmedabad","210","79702",
"CHAMUNDA GOGA SALES","shree kampanwala","Vastrapur/ S G Highway","Ahmedabad","96","32004",
"CHAMUNDA GOGA SALES","K R G GAMES & STATIOnAry","Vastrapur/ S G Highway","Ahmedabad","39","10461",
"CHAMUNDA GOGA SALES","tabu toys","Vastrapur/ S G Highway","Ahmedabad","9","5241",
"CHAMUNDA GOGA SALES","play world","Vastrapur/ S G Highway","Ahmedabad","20","5468",
"CHAMUNDA GOGA SALES","manpasand","Bhavnagar City","Bhavnagar","2024","665324",
"CHAMUNDA GOGA SALES","a r book teasure","CG Road/ Ashram Rd.","Ahmedabad","36","9936",
"CHAMUNDA GOGA SALES","evergreen toys world","Vastrapur/ S G Highway","Ahmedabad","9","4641",
"Parikh Enterprises","shri satguru","Baroda - City","Baroda","5060","1427745",
"Parikh Enterprises","yaksh","Baroda - City","Baroda","70","21930",
"Parikh Enterprises","sachira collection","Baroda - City","Baroda","81","25587",
"Parikh Enterprises","toy town","Baroda - City","Baroda","100","32780",
"Parikh Enterprises","asmi enterprise","Baroda - City","Baroda","192","56448",
"RAJESH TRADERS","Quality stationary & gift house","Indore - City","Indore","25","11225",
"RAJESH TRADERS","toy hut","Indore - City","Indore","60","20020",
"RAJESH TRADERS","Riddhi stationary & gift shope","Indore - City","Indore","336","78352",
"RAJESH TRADERS","super toys world","Bhopal - City","Bhopal","1225","473620",
"RAJESH TRADERS","maan","Bhopal - City","Bhopal","338","155662",
"RAJESH TRADERS","kohinoor gift center","Indore - City","Indore","144","34728",
"RAJESH TRADERS","utsav","Indore - City","Indore","144","25656",
"RAJESH TRADERS","unique store","Indore - City","Indore","144","38928",
"SHIV AGENCIES","JHULELAL","Jaipur - 1","Jaipur","3480","1293342",
"SHIV AGENCIES","MAAHERA","Jaipur - 1","Jaipur","5670","1430856",
"SHIV AGENCIES","SINGHAL TREDERS","Jaipur - 1","Jaipur","2128","517104",
"SHIVAM","amit toys","Kanpur - City","Kanpur","256","57568",
"SHIVAM","bhatia gift collection","Kanpur - City","Kanpur","676","172172",
"SHIVAM","concepts","Kanpur - City","Kanpur","900","226800",
"SINGHANIA SALES","Neha Collection","Jhamshedpur - City","Jhamshedpur","16","2600",
"SINGHANIA SALES","Santi Store","Jhamshedpur - City","Jhamshedpur","1","399",
"SINGHANIA SALES","New  Gift Centre","Jhamshedpur - City","Jhamshedpur","144","39720",
"SINGHANIA SALES","Toy World","Jhamshedpur - City","Jhamshedpur","25","3375",
"SINGHANIA SALES","Wasava singhs","Jhamshedpur - City","Jhamshedpur","25","7475",
"SINGHANIA SALES","Fancy Art Jewellery","Jhamshedpur - City","Jhamshedpur","36","7212",
"SINGHANIA SALES","Feelings","Jhamshedpur - City","Jhamshedpur","100","19440",
"SINGHANIA SALES","Feroz Ahmed","Jhamshedpur - City","Jhamshedpur","25","6975",
"SINGHANIA SALES","Passion","Jhamshedpur - City","Jhamshedpur","484","114004",
"Deshraj Trading","Hallmark","Shilong City","Shilong","4095","880965",
"Deshraj Trading","The shillong sports.","Shilong City","Shilong","3400","868200",
"Deshraj Trading","Grand collection","Shilong City","Shilong","1089","355014",
"Deshraj Trading","Lovely","Shillong - City","Shilong","1936","623216",
"V S International","Apple Gift & More","Vashi","New Mumbai","36","16320",
"V S International","Beautiful","Vashi","New Mumbai","121","43461",
