"id","name","number","email","address","lat","long","area","dob","sq_feet","store_image","ownername","ownernumber","contactname","contactnumber",
"31","shobas gift gallery","25427889","","60/1 cmrc road hrbr layout Kalgan Hagar","0","0","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","1978-09-30","2150","","ashraf","9448088453","sayeed","9448088453",
"32","Baby walker","41004282","babywalkers1975@gmai.com","23- M-block g k-1 new delhi","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","150","","Mr.Dipanshu gupta","9999990347","ranjit nagar","8750128289",
"33","Little Finger","40968540","","3&4 maruthi complex, 46/1, papamma reddy layout, ram murthy Hagar, bangalore","0","0","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","0000-00-00","3000","","pankaj agarwal","9900205255","debananda","8553789688",
"34","empire fancy","24464368","bikalkma@gmail.com","E34, 2nd avenue,Besant nagar","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","1985-07-21","0","","haniff","9884479170","ashim","9884479170",
"35","pm enterprises","04424466303","lilmischiefchennai@gmail.com","E-971stfloor3rd Main Road Besant Nagar","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","2014-09-30","600","","Mukta","9677115550","Shyamala","9994666098",
"36","Prabhat Gift Centre","24467047","prabhatnexgen@gmail.com","242,santosh,L.J.Road,Near shivaji park bus stop, radar(w).Mumbai","0","0","DADAR WEST","0000-00-00","600","image40.jpg","zubin shah","9820500997","zubin","9820500997",
"37","The Olive","41553324","info@olive.co.in","8, lp complex, 4th cross, ombr layout, banaswadi, Bangalore.","0","0","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","1978-11-11","500","","paul","9986952597","john","9886995122",
"38","Rama book dipo","29834324","","61, central MKT lajpat ngr new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","60","image39.jpg","","","","",
"39","khanna gift house","29839852","","79,central MKT lajpat ngr new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","100","image42.jpg","Mr.Ashok khanna","9871435332","Mr. Dube","9871976640",
"40","Shiva toys","29831541","kohlisanjay16@gmail.com","J-2A ground for central MKT lajpat ngr-2 new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","1967-02-16","0","image43.jpg","Mr.Sanjay kohli","9810830061","Mr.ganesh","9958347804",
"41","Dora bag mall","26205302","jangchennai@yahoo.co.in","159A, 7th Avenue,Be sent Hager,Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","1000","image44.jpg","Dora mall","","","",
"42","Good Luck Gift Gallery","24451913","padamshigala39@gmail.com","Rehmat manjil, 59, l j road, mahim, mumbai","0","0","DADAR WEST","1964-11-27","215","","piyush Gala","9819656587","sunil","9820902433",
"43","Sitaram Enterprise","29842832","sitaramenterprises09@yahoo.com","J-5central MKT lajpat ngr new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","150","","Mr.Karan Arora","9650338339","ranjit","8750128289",
"44","Toy World (sam&com.)","41721404","toysworld@gmail.com","147 Lajpat ngr 2nd new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","200","","Mr.Suneel","9810055006","ranjit","8750128289",
"45","Arjundas Gagandas Kartari. (Big Bunny).","02226136062","kartarimanish@gmail.com","juhu Tara road, next to kalaniketan, juhu, Mumbai .","0","0","Vileparle - East & West","0000-00-00","1000","","Mr. Rommi","","Mr. Manish","9833027880",
"46","Noorie Toy Land","02226126175","noorietoyland@yahoo.com","vaishali shopping centre, V.M. road, juhu scheme, Mumbai.","0","0","Vileparle - East & West","0000-00-00","350","image47.jpg","Mr. Darshan shah","9833155061, 9833810810","Mr. Dinesh","9892665820",
"47","sun gift gallery","41687257","","108, cauvery nilayam, Kammanahalli main road, bangalore","0","0","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","1977-09-30","300","image48.jpg","teja ram","","bharath","9739719692",
"48","Pram service staton (In&Out Bharat)","26256436","ashokpss@hotmail.com","Tito Mary, opp.college of Nursing, Andrews Ganj new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","50","image49.jpg","Mr.Ashok Mego","9811031217","Ms.kiran","...............",
"49","Rushabh collection","24374348","","Shop no 10,manjrekar Sadan,opp.century bazaar , kharude market , worli , mumbai","0","0","DADAR WEST","1963-12-15","300","image50.jpg","Nitin shah","9819656580","purvesh","9821866638",
"50","The Gift Shop .","","arjunvanyogi@gmail.com","Shop no. 3, Nandkripa shopping centre, 4 bungalow, and her I(w), Mumbai.","0","0","Andheri West","1989-06-01","200","","Mr.Arjun","","Mr. Arjun.","9819955344",
"51","Maharani Dipartmental Store","24330754","","36 Defence colony MKT new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","100","","Mr.Rajesh","9810493984","â€¦.................","....................",
"52","Wrapped Emotions","","wrap.emotions@gmail.com","202, 4th cross, hrbr layout, cmr road, kammanahalli,bangalore","0","0","Kammanahalli/ Banaswadi/ Hennur/ Ram Murthy Hagar","1976-06-16","2500","","rajendra singh sisodia","9845681795","sridhar","8892351699",
"53","Art Station .","02226339794","","Shop no. 18, nandkripa shopping centre, 4 Bunglows, and her I (w), Mumbai.","0","0","Andheri West","0000-00-00","200","image54.jpg","","","Mr. Sachin","99672802612",
"54","Textile Showroom","24333604","tsramit39@gmai.com","7 JD bhawan defence colony new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","100","","Mr.Amit gupta","9810277404","...............","................",
"55","Kamdhenu Departmental store pvt. ltd.","02226315627,28,29.","kamdhenu_09@yahoo.co.in","4 Bungalow Junction, Andheri (w), Mumbai.","0","0","Andheri West","0000-00-00","2000","image55.jpg","Mr. Dhiraj bhai","9820817537","Mr. Roop singh","9920685655",
"56","Smiles The Gift Shop","26935780","","3 femur ngr new friends colony new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","300","","","","Mr.govind","",
"57","Sanjay Toys","","","26,Amartally street Kolkata 700001","0","0","Alipur / New Alipur/ Bihala/ Splanet/ Bada Bazaar","0000-00-00","0","","","","Rajeev Jain","9831410516",
"58","Green Turtle","02226334477","gbabhaniya@gmail.com","Shop no. G3, ratnagar Bldg, nr 4 Bungalow signal, J.p.road, Andheri(w), Mumbai.","0","0","Andheri West","1985-02-05","540","image57.jpg","Mr. Govind","","Mr. Govind.","9920122120",
"59","Muskaan toys","65001587","muskaantoys@gmail.com","10/b,Shibdas Bhaduri Street, fariapukar,Shyambazar,Kolkata.700004.","0","0","Shyam Bazaar/ Podiya Pukur/ Kakurgachi/ Lake Town/ Baguwadi","0000-00-00","0","","","","bapa","09804811042",
"60","Gurukrupa Cards & Gifts","02226356774, 02266994774","gurukrupagifts@gmail.com","evershine apartment, No.2, shop no. 34,35,35A, off j.P. road, 7 bungalows, and her I(w), Mumbai.","0","0","Andheri West","0000-00-00","825","","Mr. Dhiraj bhai.","9892439363","Mr. Dinesh","8286697664",
"61","Mahavir Traders","24463888","mahavirtraders@yahoo.co.in","192 , roopwala terrace (path are mansion),l. J. Road, near city light cinema, matunga (w), mumbai","0","0","DADAR WEST","1968-08-15","300","image59.jpg","Rupesh jain","9892626207","Rupesh","9892626207",
"62","Shakti Collection.","02226396973","rajgada58@gmail.com","17, evershine shopping centre, Opp. Bonbon, 7 bungalow, Andheri (w), Mumbai.","0","0","Andheri West","0000-00-00","400","","Mr. D.J. Gada.","","Mr. Rajesh bhai.","9821271432",
"63","Maharashtra Collection","24454613","","1 new shrinath bldg, near city light signal, l. J. Road, matunga(w), mumbai","0","0","DADAR WEST","1966-11-12","350","","Ramesh Boricha","9769555915","Ramesh Bhai","9769555915",
"64","Sheviks Toys","26142166","","25-B shopping centre Block-C paschim Mary vasant Bihar new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","200","","Mr. Vikram Marett","9810947572","Mr.Ajay","............",
"65","MIRACLES THE TOY STORE","26222937","miraclesthetoystore@gmail.com","154 E- Block main road kalkaji new delhi","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","100","","Mr.Chavi bhalla","9899774818","â€¦..........",".............",
"66","MAHAJAN GIFT HOUSE","26445425","mgh_toys@yahoo.co.in","G-16/A main road kalka ji new delhi","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","150","","Mr.vijay mahajan","9910546565","Mr. varma","................",
"67","SUPER GALLERY","26845032","akshay250@gmail.com","18-C- block MKT east of kailash new delhi","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","100","","Mr.Ramnik Arora","9891292983","Me.Raju","..............",
"68","WIENERS","41731585","nitin_wieners@yahoo.co.in","m-50 G k-1 new delhi","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","150","","Mr.Nitin Gupta","9810144585",".............","..............",
"69","BOOK VOOK","41006766","","B-3,5,7 Basement, near aggawwl  sweets alaknanda mkt","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","100","","Mr. Ankit Aggarwal","9818395025",".............",".............",
"70","Nanda fancy store","26828983","","1670/1 govind puri ext, kalka ji","0","0","Amar Colony/ G K - 1/ G K - 2/ Kalkaji/ Govindpuri/ Alaknanda","0000-00-00","100","","Mr. karan nanda","9212137525","â€¦.........",".........,..",
"71","Connexions (Annanager)","24793516","purchase@connexionsonline.biz","Retail stores private limited,120,natasan Hager,3rd main road
Virugambakkam, Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","2000","","Ravi","","Titus","9789998808",
"72","Manoj Stores","23675553","manojstores@gmail.com","Grd. & 1st floor, 63, bhulabhai Desai Road, mumbai","0","0","BREACH CANDY","1969-11-25","7500","","Manoj Gala","9820021428","Gopalraj jha","9594942631",
"73","sky blue","9879643434","","Opp star bazaar satellite ahmedabad.","0","0","Satellite/ Jodpur","0000-00-00","1000","","vipul","9879643434","vipul","9879643434",
"74","Connexions (Coimbatore)","24793516","purchase@connexionsonline.biz","Retail stores private limited,120,natesan never ,3rd main road
Virugambakkam chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","2000","","Ravi","","Titus","9789998808",
"75","Connexions (saligramam)","24793516","purchase@connexionsonline.biz","Retail stores private limited, 120,natasan Hager,3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","500","","Ravi","","Titus","9789998808",
"76","pluto toys","9327005266","milan_1965@rediffmail.com","10paradise park society b/h st.Lauren hotel ashram road ahmeadbad","0","0","CG Road/ Ashram Rd.","0000-00-00","0","image63.jpg","darshan bhai","9327005266","jalpan","9327005266",
"77","Connexions (velachery)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan Hager, 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","1000","","Ravi","","Titus","9789998808",
"78","LEO TOYS","4009051","harsh_arora68@yahoo.co.in","UG-14 DT MEGA MALL  DLF-1 GURGAON","0","0","Gurgaon - 1","0000-00-00","150","","Mr. Harsh Arora","9811103933","Mr. Dharmendra","8285187546",
"79","ankur hobby","6662131","","Abhirath complex near sardar patel statue Naranpura Ahmadabad.","0","0","Naranpura","1963-01-24","1200","","dhanjay raval","9898431115","devendra/niraj","9898431115",
"80","Kamdhenu","23620204","kamdhenu1999@gmail.com","99, Videocon house, Nepean sea road, mumbai","0","0","BREACH CANDY","1977-01-02","7000","","Ramesh patel","9820221879","kishan","7718017077",
"81","Patel Toys & stationery","02226399757, 26399749.","","Bldg no. 40, shop no. 9, oshiwara mhada complex, new lokhanwala link road, extn, Andheri (w), Mumbai.","0","0","Andheri West","0000-00-00","300","image67.jpg","Mr. Shamji Patel.","9819891660","Mr. Ram.","9987714025",
"82","KIDS HAWELI  (MITCO EXPORT)","8826843495","badal_mittal2001@yahoo.com","Lg-21,22 mega mall golf course r.d  dlf -1 Gurgaon","0","0","Gurgaon - 1","0000-00-00","200","","Badal Mittal","9810038892","Mr. Lal","9310425517",
"83","Toy World","25589760","","44, commercial street, Bangalore.","0","0","Indranagar / Thippsandra / Commercial St.","0000-00-00","2000","image69.jpg","","","","",
"84","Connexions (salem)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan nager, 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","500","","Ravi","","Titus","9789998808",
"85","Connexions (salem)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan nager, 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","500","","Ravi","","Titus","9789998808",
"86","mama love","7600768161","amitc23@gmail.com","109/4, shreeji complex sardar Patel colony ahmedabad","0","0","Naranpura","1978-02-23","0","image70.jpg","amit","7600768161","amit","7600768161",
"87","Connexions (Adyar)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan Hager, 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","1000","","Ravi","","Titus","9789998808",
"88","Bright Sales","25587204","","93, Commercial Street, Bangalore.","0","0","Indranagar / Thippsandra / Commercial St.","0000-00-00","3000","image73.jpg","Rajavelu","9448116879","saleem","8553908387",
"89","Sterling For Music","23678245","sterlingformusic@hotmail.com","22, chandralok, A 97, nepean sea Road, mumbai","0","0","BREACH CANDY","1956-04-21","250","","Mukul Shah","9820566996","Harshit Sheth","9820757888",
"90","Connexions (Ashok nager)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120,natesan never,3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","500","","Ravi","","Titus","9789998808",
"91","meeta xerox & gift","9898175694","","Below mother pets school naranpura ahmeabad","0","0","Naranpura","1961-11-20","400","","anil","9898175694","anil","9898175694",
"92","Connexions (mogappair)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan Hager,3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","500","","Ravi","","Titus","9789998808",
"93","Kenorita","66578307","","75, sagar tarang bldg. Opp. Darya mahal, nepean sea road, mumbai","0","0","BREACH CANDY","1989-07-01","22000","image76.jpg","vicky chheda","9892980138","Jaisukh","9820589548",
"94","Connexions (infosys shollinganallur)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan Hager , 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","300","","Ravi","","Titus","9789998808",
"95","Connexions (mahindra world city)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan Hager, 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","100","","Ravi","","Titus","9789998808",
"96","SURJ ENTERPRISES",".....................","surj_play_lear_@hotmail.com","SGO8 Galerya MKT dlf-4 gurgaon","0","0","Gurgaon - 1","0000-00-00","150","","Mrs.Jaya Rakesh","9811912367","............","............",
"97","Connexions (mahindra infosys)","24793516","purchase@connexionsonline.biz","Retail stores private limited 120, natesan Hager 3rd main road
Virugambakkam Chennai","0","0","ANNANAGAR / SALIGRAMAM/ MUGAPPAIR/ VANAGARAM/ VADAPALANI/ K K NAGER/ T NAGAR / WEST MAMBALAM","0000-00-00","100","","Ravi","","Titus","9789998808",
"98","Komal Collection","23683521","komalcollections@yahoo.com","Petit hall shopping centre, 66, nepeansea road, mumbai","0","0","BREACH CANDY","1974-02-13","350","image77.jpg","Nitin bhai","9820118688","Rajubhai","8879199883",
"99","SHINE GIFT GALLERY","4237373","dev_8477@yahoo.com","Shop no 32 gf  vyaper kandre sushant Lok","0","0","Gurgaon - 1","1980-12-12","280","image80.jpg","Mr.dev","9873730734","â€¦............","..............",
"100","toy house","25367842","sunder_1969_8@yahoo.com","141/2 k kamraj road, bangalore","0","0","Indranagar / Thippsandra / Commercial St.","1969-07-08","2400","","naraynan","9880294277","sundar","9880294277",
"101","Hello","9989","demo@demo.com","A","19.0726244","72.8998691","","2014-10-16","0","","9819","678678","876876","786",
"102","Charisma .","","charismakda@yahoo.co.in","Kokilaben dhirubhai ambani Hospital, gr floor, 4 bunglows ,andheri  (w), Mumbai.","0","0","Andheri West","0000-00-00","450","image81.jpg","Dr. Mittal Dedhia.","","Mr. Chetan.","9821688124",
"103","Global Retail","23697712","globalretailjgd@gmail.com","Dhun-abad, 106, bhulabhai Desai Road, Jn. Of warden road & nepeansea road, mumbai","0","0","BREACH CANDY","1965-05-27","2200","image83.jpg","Vabeez","9820237713","Ashwini","9769468376",
"104","TOY PALACE","9958530618","akash.is.gupta@gmail.com","GF 75 Vyapar kendra sushant look ph-1 gurgaon","0","0","Gurgaon - 1","0000-00-00","200","","Mr.Akash Gupta","9910633618","Mr. sachin","8860115266",
"105","RIWAZ GIFT &TOY","42910557","","77 ,220, vyapar kendra sushant lok-1 gurgaon","0","0","Gurgaon - 1","0000-00-00","100","","Mr. C.P. pawar","9717308710","...............","...............",
"106","Tiny Toyz","25597444","tinytoyzblr@gmail.com","Diamond Plaza, #50/1, 1St  floor,Ibrahim saved street, Bangalore.","0","0","Indranagar / Thippsandra / Commercial St.","1979-05-17","1300","image89.jpg","Syed","9141277733","atiq","9019556414",
"107","Harish Collection.","02226334412, 26319628.","harishcollection1992@gmail.com","Embassy bldg, shop no. 9, lokhandwala complex, andheri (w), Mumbai.","0","0","Andheri West","0000-00-00","700","","Mr. Valji Patel.","9892221650","Mr. Dinesh","9820114545",
"108","Warden Collection","23682222","wardencollection@yahoo.com","Advani chambers,A. K. Mary shop no.4, mumbai","0","0","BREACH CANDY","1965-03-21","300","image91.jpg","Talakshi","9820329637","Talakshi","9820329637",
"109","New Pleasure Treasure.","02265263957, 66973943.","only_pleasure@live.com","58, R.N.A. Arcade, opp oriental bank, next to woodland, lokhandwala complex, Andheri (w), Mumbai.","0","0","Andheri West","0000-00-00","600","","Mr. Jayesh chhadva.","9820016155","Mr. Praful .","8879927820",
"110","Kids Corner.","02226365929","gadaamit9@gmail.com","Shop. No. 43, R.N.A. archade , lokhandwala complex, andheri (w), Mumbai.","0","0","Andheri West","0000-00-00","250","","Mr. Amit Gada.","9819642337","Mr. Ramesh","9920714149",
"111","company","25852215","","Hidfhdjhfdjhjn. Jddfhjddjfdddhcjjd kjdfkjdfjdfjddjjdf
Ssjcxjcsscjsjcjsscjnjj","0","0","Kandivali- EAST","1976-04-08","150","image83.jpg","","","anuj","9820475236",
"112","SPORTS &GIFT EMPORIUM","24655766","party_setters@yahoo.com","A-61 khan MKT inside arcode, new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","100","","Mr.Salil choudhry",".....................","Mrs.sweety",".................",
"113","GIFT PALACE (GUPTA BROTHERS)","24632640","","52-khan MKT new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","200","","Mr. Rakesh Gupta","9910166750","............","...............",
"114","AUTO CENTER ( In&Out )","24648315","autocentre61@gmail.com","D-block main r.d difence colony new delhi","0","0","Lajpat Nagar/ Vasant Vihar/ New Friends Colony/ Khan Market/ Defense colony/ Mulchand","0000-00-00","100","","Mr. Nitin bathla",".......................","Mr.Prem vist","...................",
"115","Celebration .","02229208563","","B-4, twin arcade, opp. Blossom society, military road, marol, andheri, (e), Mumbai.","0","0","Andheri East","0000-00-00","500","","Mr. P.H. Shah.","","Mr. Devendra","8879255643",
"116","RS Shopping center","24453193","saif.ms155@gmail.com","73,lb.Road Opp.tel exchange, Adyar Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","1000","","K.M Basheer","","K.M Basheer","9176455764",
"117","Right choice","42019848","","Kurnji appts","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","1000","","Ramesh","","","",
"118","Sams Toy World","","sam_shukla2525@yahoo.co.in","28, Aakash tower, premchand Hagar, ahmedabad","0","0","Vastrapur/ S G Highway","0000-00-00","900","","Shailesh","9825252510","Ashish","7777995504",
"119","Sonalei Collection.","02229259707","vinodwadhwani36@gmail.com","Bhavani tower, shop no. 3, bhawani nagar, nr. M.E.A school, Marol maroshi road, andheri, (e), Mumbai.","0","0","Andheri East","0000-00-00","300","","Mr. Vinod wadhwani","","Mr. Vinod.","9819957105",
"120","Gifts n Gifts","04424481890","","1/228 Ecr Main Road, Kottivakkam,Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","2014-10-23","1000","","serene","9600117034","Prabhu John","9941328890",
"121","Half Tickets","43036823","halftickets@yahoo.com","No.3, 5th street, Tansi Hagar, Velachery, Chennai-42","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","350","","Sathish","9500022891","Manikandan","9443386150",
"122","saumya stationary & general store","","","G 20 suncity mall sardar Patel ring road bopal Ahmedabad.","0","0","Bopal / Sun City","0000-00-00","300","","jignesh","9825532875","jignesh","9825532875",
"123","Choice Centre","02228342397","choicecentre@hotmail.com","5/5, Greenland apartment, J.B. nagar , andheri (e), Mumbai.","0","0","Andheri East","0000-00-00","300","","Mr. Shantilal Shah.","","Mr. Anil","8976649269",
"124","sadhna gift & novelties","27176560","","FF shri kabir enclave opp homeopathy college bopal ghuma road ahmedabad","0","0","Bopal / Sun City","0000-00-00","300","","sadhna","9601111413","sadhna","9601111413",
"125","Rex Fashions","43036004","","1&2, 100 feet bypass road velachery Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","400","","Sathish","9884041167","laxmi","9884041167",
"126","The family shop","22433993","familyshop03@gmail.com","#46 E 1st floor, 100 feet road, opp to TCS, ramagiri Hager velachery Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","500","","kalimuthu","","Raghuram","9940293311",
"127","kidzone","31922330","","369,Mgr Hager, Omr Near srp tools bus stop. Chennai","0","0","ADYAR/ THIRUVANMYUR/ BESANT NAGER/ KOTTIVAKKAM/ OMR/ VELACHERY","0000-00-00","1200","","","","","",
