"id","productname","product","encode","name2","productcode","category","video","mrp","description","age","scheme","isnew","timestamp","categoryname","schemename",
"11","CANDLES FROM DESIGNER POT","","","","39470","18","","399","Paint the four pots using the bright metallic acrylic paints in diverse themes or designs. Fix the metallic decoration pieces with adhesive and get a marvelous enhanced look. Melt the candle wax flakes and put into the pots along with the wicks.","","","","2014-09-11 10:57:55","Candles","",
"12","CANDLES FROM PRETTY POT","","","","39469","18","","299","This brilliant kit enables one to make as many as 6 stunning candles in the shape of miniature garden pots.
Paint the pots using the bright fluorescent colours in diverse themes of your own and unearth a hidden artistic potential within you.
Melt the candle wax flakes and fill into the pots along with the wicks.
Showcase your pretty candle pots and light them up for many a special occasion.




Contents
Terracotta pots: 6; Paints: 6; Paint brush: 1; Candle Wax: 1 packet; Candle wicks; Instruction Manual","","","","2014-09-11 10:57:55","Candles","",
"13","CANDLES FROM SPARKLING POT POURRIE","","","","39468","18","","349","This kit enables a budding hobbyist to make as many as 6 mind-blowing candles in the shape of miniature flowerpots.
Paint the pots using the bright colours in diverse themes of your own and unearth a hidden artistic potential within you.
With coloured sand and glitter and paints you can even make a potpourri mix.
Melt the candle wax flakes and fill into the pots along with the wicks.
Showcase your sparkling candle potpourri and light them up for many a special occasion.



Contents
Terracotta pots in flower shape: 6; Tempera Paints: 6 colours; Sand: 7 colours; Paint brush: 1;
Candle Wax: 1 packet; Candle wicks: 6; Glitter: 2 colours; Adhesive: 1; Instruction manual","","","","2014-09-11 10:57:55","Candles","",
"14","GELWAX CANDLES - AQUARIA","","","","39478","18","","299","Gel wax can transform the look of Candle pots like never before.

The merest tint of colour along with glitter can give candle pots an outstanding look.
Lit up in a darkened room it gives a new illuminated aura to the room. These gel wax pots serve as excellent souvenirs and mementoes. 
When a gel candle is made in a glass tumbler the glowing colours come out best from the translucent gel. The gel can be stained with colours derived from crayon scraping. 
A wide range of colourful and attractive paraphernalia can be embedded in these gel candles, especially because the pots are transparent.
Dried flowers, coloured sand, glitter, shells, marbles or beads can be imaginatively used to make these candles look very pretty.
The components provided in the kit enable you to make 3 fascinating miniature candles with an aquamarine look.



Contents
Mini Glass tumblers: 3 pieces; Gel wax: 1 packet; Wicks; Sand: 4 colours; Shells: 1 assorted packet;
Glitter: 1 sachet; Instruction manual","","","","2014-09-11 10:57:55","Candles","",
"15","GLASS PAINTED CANDLE GOBLETS","","","","39546","18","","399","Glass goblets have been used since historic times and taken out for special occasions by royal gentry.Three miniature glass goblets are provided in this kit and can be painted with glass colours with the aid of a highlighter.The see-through painted display on the glass surface looks amazing.Light them up to celebrate any special occasion and add to the festivity.ContentsGlass Goblets: 3 pieces; Wicks: 3 pieces; Glass Paints: 3 tubes in assorted colours; Paintbrush: 1 piece; Glass 3D-Outliner Paint: 1 tube; Gel wax: 1 Sachet; Instruction Manual","","","1","2014-10-04 07:05:26","Candles","",
"16","SAND ART FESTIVE CANDLE POTS","","","","39501","18","","199","This kit enables a budding hobbyist to make as many as 3 mind-blowing candles in the shape of miniature flowerpots.With coloured sand, glitter and adhesive you can make an exciting potpourri mix.Melt the candle wax flakes and fill into the pots along with the wicks.Showcase your sparkling candle potpourri and light them up for many a special occasion in the future.ContentsTerracotta pots: 3 in flower shape; Sand: 4 colours; Candle Wax: 1 packet; Candle wicks: 5; Glitter: 2;  Adhesive: 1; Instruction Manual","","3","0","2014-10-13 04:45:07","Candles","Below MRP - 200",
"17","Balveer & The Evils Of Bhayankar Pari","","","","39734","28","","549","This is a board game based on the popular TV serial –Baalveer which is aired on SAB TV.
The scenario is that Bhayankar Pari has escaped from Sarvada prison and now seeks revenge! She, along with her treacherous minion Tauba Tauba, has wreaked havoc on Pari Lok by capturing Rani Pari and is on her way to attack Rani Mahal.
Rani Pari beckons you to rise as Baalveer and use the powers of the 7 paris to defeat the evil forces of Bhayankar Pari and save Rani Mahal from destruction.
Khush Raho Baalveer… Khush Raho!




Contents
Game Board: 1; Paristhiti Cards: 30; Prashna Cards: 30; Baalveer Jadooi Dand Card: 1; Pari Cards: 43;
Pari Shakti Reference cards: 6; Dice: 1; Cutout pawns: 6, Tokens (Hero points): 15; Pawn bases: 9;
Instruction manual - 1","","","","2014-09-11 10:57:55","Children Games","",
"18","Foto Memo","","","","39733","28","","399","The ability to recall images in great detail for several minutes is in developed early childhood. It does take patience and a good amount of practice. 
Training your mind to place information properly is the best way to attain a fast and effective recall that comes with photographic memory.
Foto Memo is a memory enhancing educational-aid in the form of game. This game will go a long way as the first step for the child in programming the brain cells to prime this objective.
The results will be seen from the overall performance of the child during repeated plays of FotoMemo.
Foto Memo is a must-have and a must-play for all children.



Contents
110 memory cards; 4 pawns; 1 game board; 1 Dice","","","","2014-09-11 10:57:55","Children Games","",
"19","Joy Ride","","","","39731","28","","399","Players enjoy amusement rides on game boards of a Roller Coaster, Ferris wheel, Carousel and a Rocking Ship.Each game board has 8 empty slots to be filled in by the players with appropriate two-sided tokens showing shapes and colours during game play.On the flip-side of these tokens are family members. Based on the turns of the Spinner, players will fill these slots by placing tokens showing shape or colour face side up. Reward points are earned by players who finish early.At the end of the game the tokens are flipped over and the players try to form sets of four - complete families, sets of all fathers, or all daughters… etc.More rewards are earned for these sets and the player with the maximum reward points wins.ContentsGame boards: 4; Spinner: 1; Play tokens: 32; Reward tokens: 20; Instruction manual – 1","","","1","2014-10-04 07:09:16","Children Games","",
"20","PANCHO","","","","39732","28","","599","Pancho is really a fun and interactive game where players also learn educational concepts.
The game stage is a farm where the players have to collect a flock of 25 animals consisting of an equal number of sheep, goats, pigs, cows and horses.
While doing so they have to also quickly make arrangements of 5 pens for each set of animals to fit a square barn board. 
There are many different ways to make the internal pens (unique combinations of 5 squares) within the square barn to complete the ‘Pancho’ and that’s when the children are learning geometry and spatial arrangements through fun and play.
Pancho provides great edutainment game play for the entire family.



Contents
Game board: 1; Barn boards: 4; Pawns: 4; Pento-pieces: 30; Animal tiles: 120; Pancho point tiles: 21
Dice: 1; Instruction Manual – 1","","","","2014-09-11 10:57:55","Children Games","",
"21","CLAY N PLAY - CUT OUT MODELS","","","","39475","31","","325","In this kit clay is provided in 12 bright and fluorescent colours along with rolling pin and mat, a blunt edged knife and a spatula. The Clay-N-Play book guides the child into making a diverse range of clay models.","","","","2014-09-11 10:57:55","CLAY","",
"22","WHAT'S YOURS LIKE?","","","","39726","29","","499","Be clever, be witty, or be outrageous... when describing your swimsuit, neighbor, closet, hair, or whatever Guess Word is picked.
Best of all; be creative so you don’t reveal the word to the player in the Hot Seat.
Get ready for some side-splitting laughs as players answer “What’s Yours Like?”®.



Contents
496 Guess Words on 248 Word Cards; 35 Challenge Cards, 5 Blank Cards; 2 Clue Boards, 2 Markers, Card Concealer Folder, Rules","","","","2014-09-11 10:57:55","Family Games","",
"23","Eskimemo","","","","39729","29","","599","The Eskimos have been on a hunt for food (fish, crab and other animals). They have to return home to their Igloos by the end of the day.
The Eskimo who arrives first is rewarded with the best meal and wins the game.
The arctic terrain on which they travel is a giant ice field with the Eskimos on one side and the Igloos on the opposite side.
In the board game, in between the Eskimos and igloos are eight patches dotted with icons on squares depicting crevices, sleds, polar bears, harpoons, crabs, footprints and fish ponds.
The Eskimos have to use their memory as well as intelligence to cross this terrain.



Contents
Icy field patches: 8; Starting ice field patch: 1; Arrival ice field patch: 1; Igloo piece: 1; Kayak cut-out: 1; Harpoon cut-outs: 4; Dice: 1; Play pawns: 4 in assorted colours; Tokens:  11; Instruction Manual – 1","","","","2014-09-11 10:57:55","Family Games","",
"24","SUNDERBANS","","","","39723","29","","499","Sunderbans, in the Ganges Delta is a great place for the brave and sporting players, what with the Alligators in the shallow swamps around the islands. In this game one enjoys the thrills and adventure of life in a contest of crossing islands across the delta.
The players use fragile bridges built from planks and stones in order to reach the village on the opposite side and then return to the village they started from.
The first player to cross and come back across the delta is the victor. However, in order to do so, contestants must carefully calculate their moves, negotiate past or block the maneuvers of their opponents, and avoid the dangerous obstacles presented by the Alligators in the water.
Sunderbans is a tactical game which can be enjoyed by family and friends. The game components – stones, bridges and pawns representing real players livens up the game board resulting in an action-packed fun-filled game!




Contents
Game Board : 1; Player figures in different colours: 6; Plastic bases: 6; Planks: 36; Stones: 27;
Large Pawn: 1; Instruction manual – 1","","","","2014-09-11 10:57:55","Family Games","",
"25","KURUKSHETRA","","","","39717","29","","699","Kurukshetra is a strategy board game unlike any you have played before which recaptures the Mahabharata and events of the war.
This innovative game design with 4 sided dice, trimino pieces, rich graphics, Mahabharata story and Kurukshetra game play-guide captivates player's interest through the 18 day war.
Play the role of a Pandava General fighting the Kauravas. You have at your command from the soldiers to the great Pandava warriors like Arjuna and Bhima.
Use these warriors and roll dice combinations to defeat the Kaurava army with it's legendary warriors like Bhishma, Drona, Karna and Duryadhana.
Strategize to receive Krishna Advices. They just might make the difference between winning and losing a battle.
Earn victory points for every battle and the player with the maximum points wins.



Contents
Game Play Board: 1; Four Sided Dice: 4; Day Token: 1; Krishna Cards: 18; Kaurava Cards : 9;
Pandava (Soldier) Cards: 28; Pandava Maharathis Generals: 24; Pandava Brother Cards: 20;
Krishna Card Rules: 4; Victory Tokens: 40; Game Play Guide: 1; Story Guide: 1","","","","2014-09-11 10:57:55","Family Games","",
"26","SABBURBIA","","","","39727","29","","599","SABurbia is an amazing family joyride where you gift items, share gossip, socialize over a tea & best of all, end up getting into bizarre situations with your favorite SAB TV stars.
As you roll the dice & move forward, you win or lose money & goodwill points.
The idea is to win of course. Just one tip before you start to play - The Goodwill of a good neighbor is worth more than the money!




Contents
Game Board: 1; Dice: 1; Pawns: 6; Task Cards: 55; Detour Cards: 55; Mall Cards: 55; Currency Notes: 80; Goodwill Tokens: 100; Goodwill Card: 1; Check post with base: 2; 
Instruction sheet – 1","","","","2014-09-11 10:57:55","Family Games","",
"27","Love It - Hate It","","","","39728","29","","599","This is a hilarious party game of Know and Tell.
Many bizarre scenarios are provided in which the players have to figure out what each one would love and what one would hate.
One would never imagine what each one remembers and what words can be put in their mouth when given the opportunity!
Many of the selections will come as a total surprise to the player in the hot seat.
Love it or Hate it, you will surely enjoy hearing what your friends are going to reveal about your likes and dislikes.



Contents
Scenarios on 160 cards: 320; Two-sided Blank Cards: 5; Love it! Chips: 18; Hate it! Chips: 18;
Sketch pens: 6; Wipe and clean boards: 6; Box for holding the cards; Instruction manual – 1","","","","2014-09-11 10:57:55","Family Games","",
"28","Safarikiki","","","","39730","29","","399","Safarikiki is a fun and fast action-packed game - with very realistic animal sounds!
The sounds of the Gorilla, Elephant, Lion, Zebra, Snake, Goat, Wolf, Woodpecker, Owl, Hawk, Frog and the Bee need to be recognized by players who almost go wild trying to be first ones to do so.
The sounds of the Gorilla, Elephant, Lion, Zebra, Snake, Goat, Wolf, Woodpecker, Owl, Hawk, Frog and the Bee need to be recognized by players who almost go wild trying to be first ones to do so.
The audio CD provided in the kit reproduces these sounds in quick succession in a random and repeat mode so players are always on the alert.
To add to the confusion and drama are the random Drumbeat and a Thunderstorm sounds wherein players duck for cover by making tents from the cards or penalize other players who are leading the pack! 
This is a great game for both kids and adults. It is also a fantastic party game and more the players; more raucous and rowdy is the entertainment!



Contents
Game board: 1; Animal cards:  96 (corresponding to 12 animals); Storm cards: 5; Audio CD:  1
Instruction manual – 1","","","","2014-09-11 10:57:55","Family Games","",
"29","HT - I LOVE MUMBAI","","","","39721","29","","449","Travel around the city, haggle with shopkeepers, discover its landmarks and eat at your favourite restaurants!
Discover why - while playing “I Love Mumbai” and experiencing the city in your own unique way.
Share your love for your city by playing this game with non-Mumbaikars and explain to them why you love each place. 
While travelling through the city, the one who earns maximum money wins!




Contents
Game Board - 1 pc; Location Cards - 50 pcs; Food Cards - 4 pcs; Chance Cards - 10 pcs;
Photo film cards - 16 pcs; Metro Ticket cards - 26 pcs; Dice - 2 pcs; Tokens - 4 pcs;
Currency Notes - 80 pcs","","","","2014-09-11 10:57:55","Family Games","",
"30","JEWELS OF TARA","","","","39725","29","","349","Play Jewels of Tara to know more about the tale of Princess Tara & her lost Jewelry.
The Jewels of Tara are lost in the labyrinth and she wants you to find them at any cost. Her most trusted jewelers have already entered the labyrinth.
Bring the jewels you find to any of them who will certify their authenticity. They will help you fashion and make articles of jewelry for you. /li>
Whoever is the first to bring back the best & most precious collection of jewelry will be rewarded handsomely!
The player who reaches Princes Tara first with the highest certified Jewelry value, wins



Contents
Game Board – 1; Card deck– 55 pcs; Guides – 4; Certificates – 16; Tokens – 4; Dice – 1;
Instruction Manual – 1","","","","2014-09-11 10:57:55","Family Games","",
"31","CHECOLO","","","","39716","29","","399","CHECOLO is a classic game for the entire family combining the logic of Sudoku puzzle (using colour tokens instead of numbers) and the strategy of Checkers board game.
This unique combination makes the game play closely contested and for players who have gained a level of expertise, every move counts. 
The aim of the players is to move all their tokens to the opposite side of the board in a straight direction backward or forward, left or right, or even diagonally forward or backward and the player, who crosses all the tokens first, wins.
Logically appealing, competitive and fast-paced; Checolo has it all and more. 




Contents
Play board with 81 slots: 1; Boards cover:1; Play tokens: 36 in nine assorted colour; 
Instruction booklet: 1","","","","2014-09-11 10:57:55","Family Games","",
"32","WORDSKILL","","","","39704","29","","299","Wordskill is a fun and exciting word game which combines word-forming skills and quick-thinking analytical abilities. The game tests anagrammatic skills and is full of fun-filled moments as words undergo make-and-break arrangements.
Contents:
Multicolored Boards: 4
Tile Holders: 4
Multicolored Tiles: 116
Instruction & Scoring Sheet","","","","2014-09-11 10:57:55","Family Games","",
"33","Sudoku","","","","39705","29","","399","Sudoku on a platter is a path-finding product which is a great teaching-aid in solving Sudoku puzzles.
The puzzle comes with a certain number of spaces already filled and one has to complete the rest. The puzzles range in complexity from relatively easy to fiendishly difficult depending on the number of spaces filled initially and also the filled positions.
For each SUDOKU example some of the numbers 1 to 9 are already located in the grids and the same numbered tiles need to be placed in the corresponding locations. The balance empty grids need to be filled with appropriate numbered tiles for solving the SUDOKU – Puzzles on a platter!
The board version offers additional advantages where two or more players can solve the same Sudoku and one can retrace back steps during an error.


Contents
Plastic Sudoku Play Mat: 1; Numbered and blank tiles: 120; Felt pen: 1","","","","2014-09-11 10:57:55","Family Games","",
"34","NITRO","","","","39724","29","","499","Nitro is a racing strategy game that puts you in the driver’s seat and inside his mind. 
Play a new circuit every time you set up. And then maintain a tricky balance between speed and control as you race around to finish first. But as they say, to finish first...you must first finish....
Set up the circuit by shuffling the twenty pieces of track and connecting them. You get a new circuit every time you play.
A simple game at first sight, it combines strategy with foresight as players race around the track.
The first one to finish has the makings of a formula racing driver!



Contents
Straight tracks – 16 pcs; Curve tracks – 4 pcs; Sign posts – 3 pcs; Racer car tokens - 4 pcs;
Stickers - 23 pcs; Game cards – 78 pcs; Dash boards - 4 pcs; Instruction Manual – 1","","","","2014-09-11 10:57:55","Family Games","",
"35","HT - I LOVE DELHI","","","","39720","29","","449","Travel around the city, haggle with shopkeepers, discover its landmarks and eat at your favourite restaurants!
Share your love for your city by playing this game with Non-Delhiites and explain to them why you love each place.
The objective of the game is to earn maximum money while travelling through the city.  
It’s fun to experience Delhi on a board & the player with the most money is the winner of the game.






Contents
Game Board - 1 pc; Location Cards - 50 pcs; Food Cards - 4 pcs; Chance Cards - 10 pcs;
Photo film cards - 16 pcs; Metro Ticket cards - 26 pcs; Dice - 2 pcs; Tokens - 4 pcs","","","","2014-09-11 10:57:55","Family Games","",
"36","SUDOKU - CHALLENGE","","","","39711","29","","499","After the Rubik's cube, Sudoku is the latest craze, which has taken the world by storm. 
Sudoku Spin Master is the first-of-its-kind Board game offering fair competition without frustration of incorrect number selection. 
Players accumulate points while placing number tiles on the Sudoku board. Bonus points and a spinner add to the excitement and allow players with higher logic skills to score.
Sudoku Spin Master is a path-finding, amazing and mind-blowing Board game. If you haven't got addicted to Sudoku yet, be warned, Sudoku Spin Master will get you completely hooked.



Contents
Sudoku play board: 1; Numbered tiles: 90; Answer Dial: 1; Spinner: 1; Sudoku book with 48 play options","","","","2014-09-11 10:57:55","Family Games","",
"37","SAND ART RANGOLI","","","","39403","19","","299","Sand Art Rangoli uses coloured sand of a uniform mesh and glue for creating the Rangoli designs.
The pictures depict traditional forms, designs and simple objects especially meant for even children.
Sand art Rangoli is an art form which can be preserved, presented or displayed for years to come.




Contents
Design templates: 6; Sand: 8 colours; Adhesive: 1; Spatula: 1; Glitter glue tubes: 2; Funnel: 1
Instruction Manual","","","","2014-09-11 10:57:55","Festival Art & Craft","",
"38","CHRISTMAS CARDS","","","","39538","19","","125","Sand Art - Christmas Cards is a fun & easy way to make personalised greeting cards for your dear ones.The cards made with colourful sand are a good way to express your wishes this Christmas. Go ahead! Explore sand!ContentsPrinted Cards: 2; Sand: 6 colours; Adhesive: 1; Instruction manual","","3","0","2014-10-06 05:31:45","Festival Art & Craft","Below MRP - 200",
"39","DIWALI DHAMAKA","","","","39574","19","","549","In this Diwali Dhamaka kit you can make 2 Starry lanterns, 3 Pictured in sand and sequin Rangolis, 4 painted Candle pots, 3 personalised Greeting cards and 60 Origami paper-folded mini-light shades. Sounds incredible!
Using the paints and cardboard cutouts one can make two dazzling starry lanterns.
Once all the five cut-outs have been painted, you need to stick the five sections together and put them up to light up your festival even if it earns you many a neighbour's envy!
Create your own beautiful candle pots using festive, traditional, geometric, floral, abstract or any other designs. Finally light the candle pots to light-up the festive spirit!
As it is a festive theme you need to select motifs which signify and highlight this. These would include painting, collage or sand and sequin craftwork on the card to depict typical Diwali motifs.



Contents
Cardboard cut outs for lanterns: 10; Origami paper sheets: 60; Rangoli templates: 3; Terracotta pots: 4;
Blank cards: 3; Glitter glue: 2; Adhesive: 2; Sand: 7 colours; Sequins: 6 colours; Spatula: 1; Paints: 5; colours; Paintbrush: 1; Candlewax: 1 packet; Wicks: 4; Ribbon: 1; Origami instruction booklet; 
Instruction manual: 1","","","","2014-09-11 10:57:55","Festival Art & Craft","",
"40","GO ARTY WITH GANESHA","","","","39514","19","","399","This is a compendium of four exciting hobby activities centered around lord Ganesha for as young an audience as 3 year olds.
The first involves Finger painting the little Ganesha on 10 sheets, initially using traced drawings and later even freehand.
Using numbered templates and coloured mosaic pieces, the young ones can make Ganesha leap out with vivid mosaic pictures.
Another art activity involves use of eight different coloured sand:  to make Ganesha pictures on traced designs with the help of adhesive glue.
Finally, the child can use clay in a twelve colour assortment to make many clay images of Ganesh.
All in all, a rich mix of Hobby activity for the young ones with Ganesha!



Contents
Traced drawing sheets: 3; Blank drawing sheets: 7; Finger Paints: 3 colours; Numbered templates: 2;
Blank templates: 2; Mosaics: 12 colours; Clay: 12 colours; Blunt Knife: 1; Spatula: 1;
Templates for sand art: 3; Templates for clay: 1; Sand: 8 colours; Adhesive: 1; Instruction manual






    <a href=""http://toy-kraft.com/im/39514.pdf""><span style=""color:blue; text-decoration:underline;font-weight:bold"">For more information on this product, click here.</span></a>","","","","2014-09-11 10:57:55","Festival Art & Craft","",
"41","HOBBY WITH HOLY GANESHA","","","","39515","19","","399","Lord Ganesha is worshipped in the beginning of any auspicious performance. An annual festival honours Ganesha for ten days, starting on Ganesh Chaturthi.
This is a compendium of hobby activities involving making actual Ganesha Clay models of different sizes and shapes using clay in 24 bright and fluorescent colours, moulding and Painting.
One can make three Ganesha fridge magnets using plaster of Paris and creating three sparkling pictures of Ganeshji using sand, sequins and glitter.




Contents
Clay: 24 colours; Blunt Knife: 1; Spatula: 1; Templates for sand and sequin art: 3; Sand: 8 colours; 
Sequins: 6 colours; Glitter: 2 sachets; Plaster of Paris: 1 packet; Tempera Paints: 6 colours; 
Moulds : 3; Disc magnets: 3; Brush: 1; Adhesive : 1; Instruction manual","","","","2014-09-11 10:57:55","Festival Art & Craft","",
"42","SAND ART FESTIVE RANGOLI","","","","39502","19","","199","SAND ART – FESTIVE RANGOLI uses coloured sand of a uniform mesh and glue for creating the Rangoli designs.The patterns are not done on the floor but on stiff card paper. The pictures depict traditional forms and designs especially meant for even children.Eight different coloured sand are provided along with adhesive glue which serves to bind the sand on the picture. Sand art Rangoli is an art form which can be framed, preserved and displayed for years to come.ContentsPrinted design templates: 3; Sand: 8 colours; Adhesive : 1; Spatula: 1; Instruction manual","","3","0","2014-10-13 04:45:47","Festival Art & Craft","Below MRP - 200",
"43","MAKE YOUR OWN X'MAS TREE","","","","39527","19","","399","This kit enables the child to make an amazing table-top X-Mas tree on their own.
The terracotta pot serves as the base for the tree.
The straws and connectors are joined to form the framework of the tree, the green décor paper is trimmed and stuck to the tree and branches followed by the other adornments which include the mini gift boxes, glitter, cotton wool, bells and star.
Besides the décor provided in the kit, they can add their own embellishments to give it a personal touch.
It is a must-have for every child to proudly display and enjoy the spirit of Christmas!



Contents
Straws: 25; Connectors: 15; Paper décor (green): 36 strips; Gift wrapping paper: 1; Sponge: 1;
Terracotta Pot: 1; Stick: 1; Adhesive: 1; Star: 1; Ribbon: 1; Glitter: 1 packet; 
Gold bells: 1packet¬; Cotton wool; Instruction Manual","","","","2014-09-11 10:57:55","Festival Art & Craft","",
"44","CERAMIC ART - PLATES","","","","39416","16","","499","The two Ceramic Plates can be transformed into decorative showpieces using the paints provided in this pack. The designs can be funky, geometric, floral or just abstract.  The painted plates can be mounted on the stands and kept as displays. They can also serve as great gift ideas.
Contents:
Ceramic plates:  2
Paints: 4 colours  
Paint brush: 1
Display stand:1
Instruction manual","","","","2014-09-11 10:57:55","Glass & Ceramics","",
"45","EMBOSSED CERAMIC TILE ART","","","","39495","16","","499","The three Ceramic tiles can be transformed into fabulous colourful decorative artpieces using the paints provided in this pack. The embossing technique gives a depth to the painted surface enabling it to appear as a 3 dimensional artwork. The painted tiles can be used as displays or serve as a great gift idea. You can even frame them for a permanency.
Contents:
Ceramic tiles: 3
Paints: 4 colours
Paint brush: 1 
Display stand: 1
Special embossing glue: 2
Instruction manual","","","","2014-09-11 10:57:55","Glass & Ceramics","",
